Symbol,AssetType,Name,Exchange,Currency,Country,Sector,Industry
A,Common Stock,"Agilent Technologies, Inc",NYSE,USD,USA,Healthcare,Diagnostics & Research
AA,Common Stock,Alcoa Corporation,NYSE,USD,USA,Basic Materials,Aluminum
AAC,Common Stock,"AAC Holdings, Inc",NYSE,USD,USA,Other,Other
AACQ,Common Stock,Artius Acquisition Inc,NASDAQ,USD,USA,Financial Services,Shell Companies
AACQU,Common Stock,Artius Acquisition Inc,NASDAQ,USD,USA,Financial Services,Shell Companies
AAIC,Common Stock,Arlington Asset Investment Corp,NYSE,USD,USA,Real Estate,REIT-Mortgage
AAL,Common Stock,American Airlines Group Inc,NASDAQ,USD,USA,Industrials,Airlines
AAME,Common Stock,Atlantic American Corporation,NASDAQ,USD,USA,Financial Services,Insurance-Life
AAN,Common Stock,"The Aaron's Company, Inc",NYSE,USD,USA,Industrials,Rental & Leasing Services
AAOI,Common Stock,"Applied Optoelectronics, Inc",NASDAQ,USD,USA,Technology,Semiconductors
AAON,Common Stock,"AAON, Inc",NASDAQ,USD,USA,Industrials,Building Products & Equipment
AAP,Common Stock,"Advance Auto Parts, Inc",NYSE,USD,USA,Consumer Cyclical,Specialty Retail
AAPL,Common Stock,Apple Inc,NASDAQ,USD,USA,Technology,Consumer Electronics
AAQC,Common Stock,Accelerate Acquisition Corp,NYSE,USD,USA,Financial Services,Shell Companies
AAT,Common Stock,"American Assets Trust, Inc",NYSE,USD,USA,Real Estate,REIT-Diversified
AAWW,Common Stock,"Atlas Air Worldwide Holdings, Inc",NASDAQ,USD,USA,Industrials,Airports & Air Services
AB,Common Stock,AllianceBernstein Holding L.P,NYSE,USD,USA,Financial Services,Asset Management
ABB,Common Stock,ABB Ltd,NYSE,USD,USA,Industrials,Electrical Equipment & Parts
ABBV,Common Stock,AbbVie Inc,NYSE,USD,USA,Healthcare,Drug Manufacturers-General
ABC,Common Stock,AmerisourceBergen Corporation,NYSE,USD,USA,Healthcare,Medical Distribution
ABCB,Common Stock,Ameris Bancorp,NASDAQ,USD,USA,Financial Services,Banks-Regional
ABCL,Common Stock,AbCellera Biologics Inc,NASDAQ,USD,USA,Healthcare,Biotechnology
ABCM,Common Stock,Abcam plc,NASDAQ,USD,USA,Healthcare,Biotechnology
ABEO,Common Stock,Abeona Therapeutics Inc,NASDAQ,USD,USA,Healthcare,Biotechnology
ABEV,Common Stock,Ambev S.A,NYSE,USD,USA,Consumer Defensive,Beverages-Brewers
ABG,Common Stock,"Asbury Automotive Group, Inc",NYSE,USD,USA,Consumer Cyclical,Auto & Truck Dealerships
ABGI,Common Stock,ABG Acquisition Corp. I,NASDAQ,USD,USA,Financial Services,Shell Companies
ABIO,Common Stock,"ARCA biopharma, Inc",NASDAQ,USD,USA,Healthcare,Biotechnology
ABM,Common Stock,ABM Industries Incorporated,NYSE,USD,USA,Industrials,Specialty Business Services
ABMD,Common Stock,"Abiomed, Inc",NASDAQ,USD,USA,Healthcare,Medical Devices
ABNB,Common Stock,"Airbnb, Inc",NASDAQ,USD,USA,Communication Services,Internet Content & Information
ABR,Common Stock,"Arbor Realty Trust, Inc",NYSE,USD,USA,Real Estate,REIT-Mortgage
ABST,Common Stock,Absolute Software Corporation,NASDAQ,USD,USA,Technology,Software-Application
ABT,Common Stock,Abbott Laboratories,NYSE,USD,USA,Healthcare,Medical Devices
ABTX,Common Stock,"Allegiance Bancshares, Inc",NASDAQ,USD,USA,Financial Services,Banks-Regional
ABUS,Common Stock,Arbutus Biopharma Corporation,NASDAQ,USD,USA,Healthcare,Biotechnology
AC,Common Stock,"Associated Capital Group, Inc",NYSE,USD,USA,Financial Services,Capital Markets
ACA,Common Stock,"Arcosa, Inc",NYSE,USD,USA,Industrials,Infrastructure Operations
ACAC,Common Stock,Acies Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ACACU,Common Stock,Acies Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ACAD,Common Stock,ACADIA Pharmaceuticals Inc,NASDAQ,USD,USA,Healthcare,Biotechnology
ACAH,Common Stock,Atlantic Coastal Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ACAHU,Common Stock,Atlantic Coastal Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ACB,Common Stock,Aurora Cannabis Inc,NASDAQ,USD,USA,Healthcare,Drug Manufacturers-Specialty & Generic
ACBA,Common Stock,Ace Global Business Acquisition Limited Ordinary Shares,NASDAQ,USD,USA,Other,Other
ACBAU,Common Stock,Ace Global Business Acquisition Limited,NASDAQ,USD,USA,,
ACBI,Common Stock,"Atlantic Capital Bancshares, Inc",NASDAQ,USD,USA,Financial Services,Banks-Regional
ACC,Common Stock,"American Campus Communities, Inc",NYSE,USD,USA,Real Estate,REIT-Residential
ACCD,Common Stock,"Accolade, Inc",NASDAQ,USD,USA,Healthcare,Health Information Services
ACCO,Common Stock,ACCO Brands Corporation,NYSE,USD,USA,Industrials,Business Equipment & Supplies
ACEL,Common Stock,"Accel Entertainment, Inc",NYSE,USD,USA,Consumer Cyclical,Gambling
ACER,Common Stock,Acer Therapeutics Inc,NASDAQ,USD,USA,Healthcare,Biotechnology
ACET,Common Stock,"Adicet Bio, Inc",NASDAQ,USD,USA,Other,Other
ACEV,Common Stock,ACE Convergence Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ACEVU,Common Stock,ACE Convergence Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ACGL,Common Stock,Arch Capital Group Ltd,NASDAQ,USD,USA,Financial Services,Insurance-Diversified
ACGLO,Common Stock,Arch Capital Group Ltd,NASDAQ,USD,USA,Financial Services,Insurance-Diversified
ACGLP,Common Stock,Arch Capital Group Ltd,NASDAQ,USD,USA,Financial Services,Insurance-Diversified
ACH,Common Stock,Aluminum Corporation of China Limited,NYSE,USD,USA,Basic Materials,Aluminum
ACHC,Common Stock,"Acadia Healthcare Company, Inc",NASDAQ,USD,USA,Healthcare,Medical Care Facilities
ACHL,Common Stock,Achilles Therapeutics plc,NASDAQ,USD,USA,Healthcare,Biotechnology
ACHV,Common Stock,"Achieve Life Sciences, Inc",NASDAQ,USD,USA,Healthcare,Biotechnology
ACI,Common Stock,"Albertsons Companies, Inc",NYSE,USD,USA,Consumer Defensive,Grocery Stores
ACIC,Common Stock,Atlas Crest Investment Corp,NYSE,USD,USA,Financial Services,Shell Companies
ACII,Common Stock,Americhip International Inc,NYSE,USD,USA,Other,Other
ACIU,Common Stock,AC Immune SA,NASDAQ,USD,USA,Healthcare,Biotechnology
ACIW,Common Stock,"ACI Worldwide, Inc",NASDAQ,USD,USA,Technology,Software-Infrastructure
ACKIT,Common Stock,Ackrell SPAC Partners I Co,NASDAQ,USD,USA,Financial Services,Shell Companies
ACKIU,Common Stock,Ackrell SPAC Partners I Co,NASDAQ,USD,USA,Financial Services,Shell Companies
ACLS,Common Stock,"Axcelis Technologies, Inc",NASDAQ,USD,USA,Technology,Semiconductor Equipment & Materials
ACM,Common Stock,AECOM,NYSE,USD,USA,Industrials,Engineering & Construction
ACMR,Common Stock,"ACM Research, Inc",NASDAQ,USD,USA,Technology,Semiconductor Equipment & Materials
ACN,Common Stock,Accenture plc,NYSE,USD,USA,Technology,Information Technology Services
ACNB,Common Stock,ACNB Corporation,NASDAQ,USD,USA,Financial Services,Banks-Regional
ACND,Common Stock,Ascendant Digital Acquisition Corp,NYSE,USD,USA,Financial Services,Shell Companies
ACOR,Common Stock,"Acorda Therapeutics, Inc",NASDAQ,USD,USA,Healthcare,Biotechnology
ACQR,Common Stock,Independence Holdings Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ACQRU,Common Stock,Independence Holdings Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ACR,Common Stock,ACRES Commercial Realty Corp,NYSE,USD,USA,Real Estate,REIT-Mortgage
ACRE,Common Stock,Ares Commercial Real Estate Corporation,NYSE,USD,USA,Real Estate,REIT-Mortgage
ACRS,Common Stock,"Aclaris Therapeutics, Inc",NASDAQ,USD,USA,Healthcare,Biotechnology
ACRX,Common Stock,"AcelRx Pharmaceuticals, Inc",NASDAQ,USD,USA,Healthcare,Drug Manufacturers-Specialty & Generic
ACST,Common Stock,Acasti Pharma Inc,NASDAQ,USD,USA,Healthcare,Biotechnology
ACTC,Common Stock,ArcLight Clean Transition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ACTCU,Common Stock,ArcLight Clean Transition Corp,NASDAQ,USD,USA,,
ACTD,Common Stock,ArcLight Clean Transition Corp. II,NASDAQ,USD,USA,Financial Services,Shell Companies
ACTDU,Common Stock,ArcLight Clean Transition Corp. II,NASDAQ,USD,USA,Financial Services,Shell Companies
ACTG,Common Stock,Acacia Research Corporation,NASDAQ,USD,USA,Industrials,Specialty Business Services
ACVA,Common Stock,ACV Auctions Inc,NASDAQ,USD,USA,Technology,Software-Application
ADAG,Common Stock,Adagene Inc,NASDAQ,USD,USA,Healthcare,Biotechnology
ADAP,Common Stock,Adaptimmune Therapeutics plc,NASDAQ,USD,USA,Healthcare,Biotechnology
ADBE,Common Stock,Adobe Inc,NASDAQ,USD,USA,Technology,Software-Infrastructure
ADC,Common Stock,Agree Realty Corporation,NYSE,USD,USA,Real Estate,REIT-Retail
ADCT,Common Stock,ADC Therapeutics SA,NYSE,USD,USA,Healthcare,Biotechnology
ADER,Common Stock,26 Capital Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ADERU,Common Stock,26 Capital Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ADES,Common Stock,"Advanced Emissions Solutions, Inc",NASDAQ,USD,USA,Industrials,Pollution & Treatment Controls
ADEX,Common Stock,Ade Corp,NYSE,USD,USA,Other,Other
ADI,Common Stock,"Analog Devices, Inc",NASDAQ,USD,USA,Technology,Semiconductors
ADIL,Common Stock,"Adial Pharmaceuticals, Inc",NASDAQ,USD,USA,Healthcare,Biotechnology
ADM,Common Stock,Archer-Daniels-Midland Company,NYSE,USD,USA,Consumer Defensive,Farm Products
ADMA,Common Stock,"ADMA Biologics, Inc",NASDAQ,USD,USA,Healthcare,Biotechnology
ADMP,Common Stock,Adamis Pharmaceuticals Corporation,NASDAQ,USD,USA,Healthcare,Drug Manufacturers-Specialty & Generic
ADMS,Common Stock,"Adamas Pharmaceuticals, Inc",NASDAQ,USD,USA,Healthcare,Drug Manufacturers-Specialty & Generic
ADN,Common Stock,"Advent Technologies Holdings, Inc",NASDAQ,USD,USA,Utilities,Utilities-Renewable
ADNT,Common Stock,Adient plc,NYSE,USD,USA,Consumer Cyclical,Auto Parts
ADOC,Common Stock,Edoc Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
ADOCR,Common Stock,Edoc Acquisition Corp,NASDAQ,USD,USA,,
ADP,Common Stock,"Automatic Data Processing, Inc",NASDAQ,USD,USA,Industrials,Staffing & Employment Services
ADPT,Common Stock,Adaptive Biotechnologies Corporation,NASDAQ,USD,USA,Healthcare,Biotechnology
ADS,Common Stock,Alliance Data Systems Corporation,NYSE,USD,USA,Financial Services,Credit Services
ADSK,Common Stock,"Autodesk, Inc",NASDAQ,USD,USA,Technology,Software-Application
ADT,Common Stock,ADT Inc,NYSE,USD,USA,Industrials,Security & Protection Services
ADTN,Common Stock,"ADTRAN, Inc",NASDAQ,USD,USA,Technology,Communication Equipment
ADTX,Common Stock,"ADiTx Therapeutics, Inc",NASDAQ,USD,USA,Healthcare,Biotechnology
ADUS,Common Stock,Addus HomeCare Corporation,NASDAQ,USD,USA,Healthcare,Medical Care Facilities
ADV,Common Stock,Advantage Solutions Inc,NASDAQ,USD,USA,Other,Other
ADVM,Common Stock,"Adverum Biotechnologies, Inc",NASDAQ,USD,USA,Healthcare,Biotechnology
ADXN,Common Stock,Addex Therapeutics Ltd,NASDAQ,USD,USA,,
ADXS,Common Stock,"Advaxis, Inc",NASDAQ,USD,USA,Healthcare,Biotechnology
AEAC,Common Stock,Authentic Equity Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
AEACU,Common Stock,Authentic Equity Acquisition Corp,NASDAQ,USD,USA,,
AEB,Common Stock,Aegon N.V. PERP CAP FLTG RT,NYSE,USD,USA,Other,Other
AEE,Common Stock,Ameren Corporation,NYSE,USD,USA,Utilities,Utilities-Regulated Electric
AEG,Common Stock,Aegon N.V,NYSE,USD,USA,Financial Services,Insurance-Diversified
AEHL,Common Stock,Antelope Enterprise Holdings Limited,NASDAQ,USD,USA,Industrials,Building Products & Equipment
AEHR,Common Stock,Aehr Test Systems,NASDAQ,USD,USA,Technology,Semiconductor Equipment & Materials
AEI,Common Stock,Alset EHome International Inc,NASDAQ,USD,USA,Real Estate,Real Estate-Development
AEIS,Common Stock,"Advanced Energy Industries, Inc",NASDAQ,USD,USA,Industrials,Electrical Equipment & Parts
AEL,Common Stock,American Equity Investment Life Holding Company,NYSE,USD,USA,Financial Services,Insurance-Life
AEM,Common Stock,Agnico Eagle Mines Limited,NYSE,USD,USA,Basic Materials,Gold
AEMD,Common Stock,"Aethlon Medical, Inc",NASDAQ,USD,USA,Healthcare,Medical Devices
AENZ,Common Stock,Aenza S.A.A,NYSE,USD,USA,Industrials,Engineering & Construction
AEO,Common Stock,"American Eagle Outfitters, Inc",NYSE,USD,USA,Consumer Cyclical,Apparel Retail
AEP,Common Stock,"American Electric Power Company, Inc",NASDAQ,USD,USA,Utilities,Utilities-Regulated Electric
AEPPL,Common Stock,"American Electric Power Company, Inc. Corporate Unit",NASDAQ,USD,USA,None,None
AEPPZ,Common Stock,"American Electric Power Company, Inc",NASDAQ,USD,USA,Utilities,Utilities-Regulated Electric
AER,Common Stock,AerCap Holdings N.V,NYSE,USD,USA,Industrials,Airports & Air Services
AERI,Common Stock,"Aerie Pharmaceuticals, Inc",NASDAQ,USD,USA,Healthcare,Drug Manufacturers-Specialty & Generic
AES,Common Stock,The AES Corporation,NYSE,USD,USA,Utilities,Utilities-Diversified
AESC,Common Stock,The AES Corporation,NYSE,USD,USA,Utilities,Utilities-Diversified
AESE,Common Stock,Allied Esports Entertainment Inc,NASDAQ,USD,USA,Communication Services,Entertainment
AEVA,Common Stock,"Aeva Technologies, Inc",NYSE,USD,USA,Consumer Cyclical,Auto Parts
AEY,Common Stock,"ADDvantage Technologies Group, Inc",NASDAQ,USD,USA,Technology,Electronics & Computer Distribution
AEYE,Common Stock,"AudioEye, Inc",NASDAQ,USD,USA,Technology,Software-Application
AEZS,Common Stock,Aeterna Zentaris Inc,NASDAQ,USD,USA,Healthcare,Biotechnology
AFAQ,Common Stock,AF Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
AFAQU,Common Stock,AF Acquisition Corp,NASDAQ,USD,USA,Financial Services,Shell Companies
AFBI,Common Stock,"Affinity Bancshares, Inc",NASDAQ,USD,USA,Financial Services,Banks-Regional
AFCG,Common Stock,"AFC Gamma, Inc",NASDAQ,USD,USA,Real Estate,REIT-Specialty
AFG,Common Stock,"American Financial Group, Inc",NYSE,USD,USA,Financial Services,Insurance-Property & Casualty
AFI,Common Stock,"Armstrong Flooring, Inc",NYSE,USD,USA,Industrials,Building Products & Equipment
AFIB,Common Stock,"Acutus Medical, Inc",NASDAQ,USD,USA,Healthcare,Medical Devices
AFIN,Common Stock,"American Finance Trust, Inc",NASDAQ,USD,USA,Real Estate,REIT-Diversified
AFINO,Common Stock,"American Finance Trust, Inc",NASDAQ,USD,USA,Real Estate,REIT-Diversified
AFINP,Common Stock,"American Finance Trust, Inc",NASDAQ,USD,USA,Real Estate,REIT-Diversified
AFL,Common Stock,Aflac Incorporated,NYSE,USD,USA,Financial Services,Insurance-Life
AFMD,Common Stock,Affimed N.V,NASDAQ,USD,USA,Healthcare,Biotechnology
AFRM,Common Stock,"Affirm Holdings, Inc",NASDAQ,USD,USA,Technology,Information Technology Services
AFYA,Common Stock,Afya Limited,NASDAQ,USD,USA,Consumer Defensive,Education & Training Services
AG,Common Stock,First Majestic Silver Corp,NYSE,USD,USA,Basic Materials,Silver
AGAC,Common Stock,African Gold Acquisition Corporation,NYSE,USD,USA,Financial Services,Shell Companies
