Symbol,Industry,gt_10pc_gth,future_price_gth,Stacked_mdl_prob,nn_mdl_prob,avg_mdl_prob,Top30_ret,Top100_ret,largest_drawdown,Top30_ret_ddown
MPLN,Healthcare Plans,0.0,0.03759398496240588,0.43181762,0.7150316,0.57342464,0.06268903518696232,0.05594483796721389,0.0,0.05303723510093251
PLMR,Insurance-Property & Casualty,0.0,-0.27121196907320017,0.6256176,0.61584544,0.62073153,0.06268903518696232,0.05594483796721389,-0.07476635514018692,0.05303723510093251
AHCO,Medical Devices,0.0,-0.3255813953488373,0.45465237,0.56952983,0.5120911,0.06268903518696232,0.05594483796721389,-0.11360430950048983,0.05303723510093251
CNTG,Diagnostics & Research,0.0,-0.09564393939393936,0.60485464,0.5683954,0.586625,0.06268903518696232,0.05594483796721389,-0.119,0.05303723510093251
KNSL,Insurance-Property & Casualty,0.0,-0.14058012176449614,0.7289349,0.61618197,0.6725584,0.06268903518696232,0.05594483796721389,-0.13945761301517445,0.05303723510093251
TSM,Semiconductors,0.0,-0.012828031685981655,0.5731159,0.50957465,0.54134524,0.06268903518696232,0.05594483796721389,-0.16964280963032208,0.05303723510093251
A,Diagnostics & Research,1.0,0.1492538184145632,0.44258738,0.6714453,0.5570164,0.06268903518696232,0.05594483796721389,-0.1802975936566883,0.05303723510093251
LLY,Drug Manufacturers-General,0.0,-0.020280608471599848,0.39185023,0.6641366,0.52799344,0.06268903518696232,0.05594483796721389,-0.18209579303740264,0.05303723510093251
EPAM,Information Technology Services,1.0,0.4002845280608542,0.60633487,0.58655566,0.59644526,0.06268903518696232,0.05594483796721389,-0.18834394458825976,0.05303723510093251
SAP,Software-Application,1.0,0.12634139546194245,0.6104476,0.6728142,0.6416309,0.06268903518696232,0.05594483796721389,-0.19225092751582573,0.05303723510093251
AVLR,Software-Application,0.0,-0.168,0.94753456,0.562302,0.7549183,0.06268903518696232,0.05594483796721389,-0.202157969493582,0.05303723510093251
MXIM,Semiconductors,1.0,0.16782578953369073,0.5776061,0.57096386,0.574285,0.06268903518696232,0.05594483796721389,-0.20313014881853875,0.05303723510093251
OCFT,Software-Application,0.0,-0.34210526315789475,0.6182106,0.8511471,0.73467886,0.06268903518696232,0.05594483796721389,-0.20990566037735847,0.05303723510093251
